0,N
span(mm)	12.4205,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	4.17046,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	14.2753,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	3.6286,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	535.664,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	519.995,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	15.6685,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	1997.72,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	3.86005,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	39.171,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	3.38316,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	20.5648,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	2.3504,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.843932,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	18.6062,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	1.50966,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.384812,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.127028,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.363196,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.834073,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.12794,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.687138,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.392162,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.259937,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.33356,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.131099,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0202954,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50023_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1750,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	130.918,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	43.656,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	2.99885,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	19.9448,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	6.56401,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	4430.24,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	2743.93,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	1686.31,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	12290.9,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	17.3155,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	450.467,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.55266,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	169.415,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	6.23743,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.721458,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	281.052,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	11.0781,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	1.3718,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.0933188,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.447685,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.834831,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.23606,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.634215,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.208,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.144246,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.185025,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0726836,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0112215,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50025_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5821,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	95.0151,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	30.8324,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.08166,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.46148,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.7341,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	12100.9,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	9169.93,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2930.97,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	22651.6,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	17.3007,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1618.74,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.95921,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	850.99,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	6.71273,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.16635,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	767.752,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	10.588,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.458731,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.259363,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.446898,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.802342,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.1931,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.606965,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.727408,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.427144,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.547672,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.215034,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0331068,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50027_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
,sub-50029_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
,sub-50032_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	17,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	38.1155,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	7.56357,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	5.03935,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	11.5484,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	3.30049,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	326.099,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	174.311,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	151.788,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	1740.17,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	13.3573,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	24.4819,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.40313,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	14.6891,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	10.9321,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	25.5599,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	9.79275,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	2.42519,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	1.88685,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.149724,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.320462,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.92831,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.21359,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.78567,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.491974,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.321646,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.413582,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.162949,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0255617,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50033_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	1313,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	109.995,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	35.5285,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.09597,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	13.7873,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	7.97802,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	5498.63,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1800.89,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	3697.74,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	14697,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.0203,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	497.472,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.331,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	245.798,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.98505,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	1.2743,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	251.674,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.03522,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.80595,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.214694,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.449681,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.8059,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.19564,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.611027,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.502473,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.345745,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.44324,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.174,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0267636,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50034_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	4252,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	89.7732,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	30.3758,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	2.95542,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.49013,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	11.9855,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	10128.6,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	3339.33,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	6789.31,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	21329.6,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	27.4602,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1552.15,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.30999,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	728.581,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	12.6513,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.690149,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	823.57,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	14.8089,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.836556,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.21219,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.448391,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.79315,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.18112,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.599163,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.509153,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.348313,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.446402,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.175178,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0268921,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50035_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5647,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	96.5919,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	29.6998,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.25228,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	7.62887,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.6614,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	12161.6,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	6893.12,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	5268.5,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	23835.6,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	24.2033,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1563.9,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.20375,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	916.602,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.63133,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.317938,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	647.301,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	14.572,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	1.03058,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.266591,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.425184,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.828305,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.20088,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.642018,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.782674,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.456708,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.585817,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.230125,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0355266,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50036_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	5476,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	79.2819,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	23.3258,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.3989,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	5.42845,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	14.6049,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	13281.9,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	6857.86,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	6424.04,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	25095.9,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	19.3443,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1959.53,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	6.89891,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	770.69,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	10.1775,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.422233,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	1188.84,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	9.16683,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.222057,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.228156,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.433562,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.786704,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.16494,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.597587,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.612717,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.410557,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.526356,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.206642,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0317965,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50038_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	4976,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	75.7647,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	18.3152,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	4.13671,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	5.969,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	12.693,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	9587.1,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	7099.74,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2487.36,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	17821.8,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	15.9014,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	1578.59,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.89889,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	960.669,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	7.69012,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.193394,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	617.923,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.21125,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.342795,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.176304,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.396597,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.816591,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.15316,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.648308,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.48991,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.328296,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.421019,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.165347,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0254922,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50043_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	3530,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	100.018,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	31.8951,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.13583,sub-50047_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
